Designator,Footprint,Quantity,Value,LCSC Part #
"R28,R9,R10,R4,R5,R27,R20,R30,R2,R39,R1,R29,R3,R13,R12,R8,R21,R11",R_0402_1005Metric,18,10k,
R37,R_0402_1005Metric,1,316k,
"C1,C2,C4,C6,C13,C14,C15,C16,C17,C18,C19,C22",C_0402_1005Metric,1,0.1uf,
"R6,R14,R15",R_0402_1005Metric,3,1k,
L4,IND-SMD_L2.5-W2.0,1,2.2uh,
"C27,C24,C25,C26,C30",C_0805_2012Metric,5,22uf,
"C23,C5,C9",C_0402_1005Metric,3,1uf,
"R38,R16,R17",R_0402_1005Metric,4,0r,
"R25,R26",R_0402_1005Metric,2,5.1k,
R36,R_0402_1005Metric,1,18.7k,
R18,R_0603_1608Metric,1,1m,
R35,R_0402_1005Metric,1,1.43m,
"R22,R23,R24",R_0402_1005Metric,3,470r,
"R32,R33,R34",R_0402_1005Metric,3,100k,
C3,C_0402_1005Metric,1,1nf,
L3,IND-SMD_L2.5-W2.0,1,10uh,
U5,QFN-68-1EP_8x8mm_P0.4mm_EP5.2x5.2mm,1,CH32V208W,
"R7,R31",R_0603_1608Metric,2,120r,
D6,SOT-23,1,BAT54C,
R19,R_0603_1608Metric,1,0R,
