Designator,Mid X,Mid Y,Rotation,Layer
R28,145.81,-100.3,180.0,top
J11,200.1675,-115.485,90.0,top
C21,174.3,-116.5,180.0,top
C10,176.1,-102.3,180.0,top
R9,123.8,-69.1,180.0,top
R37,123.51,-122.0,180.0,top
R10,193.2,-71.9,90.0,top
C1,187.9,-83.1,0.0,top
R5,129.9,-77.29,-90.0,top
R6,118.3,-81.91,90.0,top
C4,155.15,-82.15,-90.0,top
C16,149.3,-101.8,180.0,top
L4,126.5,-124.3,0.0,top
R4,129.9,-82.2,90.0,top
J8,114.8325,-110.3,-90.0,top
R27,152.5,-99.8,0.0,top
L1,192.225912,-96.1,-90.0,top
J12,148.9,-121.2,0.0,top
R15,198.69,-86.9,0.0,top
C13,151.8,-92.6,90.0,top
BT1,150.95,-77.85,-90.0,top
C27,122.7,-124.4,180.0,top
Y2,145.25,-80.85,90.0,top
J5,183.02,-68.6,90.0,top
J6,111.9,-91.66,0.0,top
C23,135.68,-122.85,0.0,top
_3,202.0,-69.0,0.0,top
J10,179.225,-108.0,90.0,top
R38,156.51,-116.6,180.0,top
R25,139.0,-76.6,90.0,top
R20,133.45,-115.26,90.0,top
C20,174.25,-111.0,0.0,top
_2,202.0,-123.0,0.0,top
L2,151.465,-89.85,0.0,top
R36,132.5,-121.85,180.0,top
C29,123.5,-119.5,180.0,top
R30,174.3,-120.3,0.0,top
R18,175.9,-98.4,180.0,top
J4,127.2,-69.2,0.0,top
J2,114.8,-76.6,-90.0,top
R35,123.51,-120.8,180.0,top
R2,158.4,-95.79,-90.0,top
R24,123.1,-114.84,-90.0,top
R33,125.89,-117.8,180.0,top
C30,142.1,-120.3,-90.0,top
U1,125.0,-79.7,180.0,top
C22,184.1,-115.22,-90.0,top
C17,160.1,-102.4,180.0,top
U10,189.3,-114.0,0.0,top
C2,192.38,-83.1,0.0,top
R39,146.6,-117.6,0.0,top
D2,156.9,-76.3,0.0,top
R1,158.34,-80.25,0.0,top
D4,164.875,-76.3,0.0,top
U11,135.8,-120.35,180.0,top
C14,125.9,-116.5,0.0,top
C3,118.3,-79.42,-90.0,top
U4,133.2,-96.4,0.0,top
R29,174.15,-107.15,0.0,top
R26,136.0,-76.5,90.0,top
J9,137.7,-70.325,180.0,top
D7,119.9,-112.8,180.0,top
C28,132.5,-119.45,180.0,top
U12,126.4,-120.7,90.0,top
R3,137.31,-95.35,0.0,top
C11,142.87,-79.5,180.0,top
R13,160.7,-77.6,180.0,top
U2,189.9,-79.1,0.0,top
U9,180.3,-114.0,0.0,top
,113.0,-69.0,0.0,top
C5,164.52,-85.4,0.0,top
C18,186.52,-117.5,0.0,top
C24,138.65,-124.6,180.0,top
C26,129.8,-120.65,-90.0,top
R23,123.1,-112.74,-90.0,top
C7,144.85,-84.1,0.0,top
R16,172.960624,-76.739376,-135.0,top
Y1,144.75,-86.9,-90.0,top
C9,181.6,-100.7,0.0,top
D5,119.1,-83.9,0.0,top
R14,198.6,-105.4,0.0,top
R32,135.69,-118.05,180.0,top
R12,156.8,-77.6,180.0,top
L3,139.5,-121.478,90.0,top
Q1,149.375,-114.165,0.0,top
U6,128.7,-112.75,180.0,top
U5,157.95,-88.15,0.0,top
U8,160.0,-100.0,180.0,top
J1,165.0975,-70.95,180.0,top
C15,160.3,-94.32,90.0,top
U3,133.2,-91.1,0.0,top
C6,153.75,-82.15,90.0,top
D3,160.775,-76.3,0.0,top
R19,180.5,-90.6,180.0,top
C8,144.75,-89.7,180.0,top
J3,200.1675,-81.785,90.0,top
J7,165.16,-108.6,-90.0,top
R8,130.3,-79.1,180.0,top
R34,132.51,-120.65,180.0,top
R7,195.9,-79.1,90.0,top
AE1,175.5,-68.6,180.0,top
C12,142.8,-82.2,180.0,top
D1,122.5,-83.9,0.0,top
R21,133.5,-110.39,-90.0,top
C19,192.12,-117.5,0.0,top
D6,150.8,-82.35,-90.0,top
Y3,174.25,-113.8,-90.0,top
R11,195.7,-71.91,90.0,top
R22,123.1,-110.14,-90.0,top
C25,142.65,-124.6,0.0,top
R17,181.6,-101.9,180.0,top
U7,149.25025,-100.0,90.0,top
R31,195.3,-114.0,90.0,top
